"time","period","gdp","exp","epg","hpr","gdpus","oil","crd","bci"
1994.08333333333,1,NA,NA,0.173761139379477,NA,NA,-0.0329256770668167,NA,NA
1994.16666666667,1,2.67947072524084,11.8389001234285,0.0366410211624314,0.0176379585088336,0.965539902655799,-0.00793724252307482,-11.2582112238534,28.4352479293299
1994.25,1,NA,NA,0.147576195782893,NA,NA,0.101165275897674,NA,NA
1994.33333333333,1,NA,NA,0.134845274645112,NA,NA,0.0789875797409223,NA,NA
1994.41666666667,1,0.936224636974003,10.7391604174142,0.0774707296739233,0.103528339649993,1.3459472215624,0.0445646837162577,-12.4273976856546,23.4469661023518
1994.5,1,NA,NA,0.100029598465334,NA,NA,0.0432436496393982,NA,NA
1994.58333333333,1,NA,NA,0.141056755544682,NA,NA,-0.0650108861709209,NA,NA
1994.66666666667,1,3.40659473669209,1.67908006209521,0.156333526123598,0.171415707993214,0.582813578468766,-0.0529572955693716,-11.0521657365433,16.5962794161929
1994.75,1,NA,NA,0.189319373474971,NA,NA,0.0206043482116365,NA,NA
1994.83333333333,1,NA,NA,0.11254772064224,NA,NA,0.041045549156085,NA,NA
1994.91666666667,1,1.11300796097069,5.55946240382399,0.106669380080655,0.15532213225202,1.13901299334209,-0.06600203189315,-13.5923225052396,24.9521687051348
1995,1,NA,NA,0.0117353787075284,NA,NA,0.0428818066408245,NA,NA
1995.08333333333,1,NA,NA,0.0496428605247837,NA,NA,0.0299623695991249,NA,NA
1995.16666666667,1,-0.839242343044155,2.66806620170774,0.0403866054113318,0.147186714227271,0.354128366946327,-0.00698395415377928,-8.40173991901866,28.0514369694299
1995.25,1,NA,NA,0.0356627005084112,NA,NA,0.0736016076671815,NA,NA
1995.33333333333,1,NA,NA,0.114623013912338,NA,NA,-0.0201174485257136,NA,NA
1995.41666666667,1,3.00592499046264,6.41192397719665,0.0732177369133061,0.128285065781109,0.297896723994029,-0.0631379048652856,-3.81626786866603,16.4505946142136
1995.5,1,NA,NA,0.0995163030388923,NA,NA,-0.0780263931786724,NA,NA
1995.58333333333,1,NA,NA,0.0695864965570655,NA,NA,0.0242670180642095,NA,NA
1995.66666666667,1,4.74183014094596,3.35464790250777,0.0832185745576771,0.116382415276123,0.847079663412664,0.0153812591951541,-2.82824469742208,19.9803393362142
1995.75,1,NA,NA,0.0713049302253636,NA,NA,-0.0382463364169181,NA,NA
1995.83333333333,1,NA,NA,0.0896704168277206,NA,NA,0.0371953114777142,NA,NA
1995.91666666667,1,0.75023573982449,1.96396222261841,0.158380964040327,0.139918817871977,0.676726062767941,0.0635157819110026,0.496882073743911,25.76032446167
1996,1,NA,NA,0.251820032812757,NA,NA,-0.013547967392008,NA,NA
1996.08333333333,1,NA,NA,0.240626661374887,NA,NA,-0.00885988510371938,NA,NA
1996.16666666667,1,2.67433923924774,0.934103572080236,0.217767991808263,0.159705671006086,0.746156138186116,0.0914691915001105,1.51679351764493,14.8743872703013
1996.25,1,NA,NA,0.223886336330361,NA,NA,0.0606029409628457,NA,NA
1996.33333333333,1,NA,NA,0.172985378338144,NA,NA,-0.0840692449087619,NA,NA
1996.41666666667,1,0.278921566608759,-3.46780457953182,0.175876638071523,0.206316701127211,1.65409159115111,-0.0302789711588864,5.47373773302226,0.453705877489708
1996.5,1,NA,NA,0.0948087839449025,NA,NA,0.0504876204071989,NA,NA
1996.58333333333,1,NA,NA,0.136137379481991,NA,NA,0.0309617872074166,NA,NA
1996.66666666667,1,0.401953817023148,-1.37542855565798,0.141998703715505,0.179334551287344,0.892992306181561,0.0886922216394657,6.56808084186309,6.97019696108373
1996.75,1,NA,NA,0.105882008728693,NA,NA,0.0542339615784246,NA,NA
1996.83333333333,1,NA,NA,0.169084884300425,NA,NA,-0.0543050747966243,NA,NA
1996.91666666667,1,2.32094894452306,1.95376508236151,0.188140831762146,0.148302777079842,1.03302783474408,0.0515877499673496,7.34961836163315,18.212778427427
1997,1,NA,NA,0.23716598393204,NA,NA,-0.0114641962590438,NA,NA
1997.08333333333,1,NA,NA,0.231590441073038,NA,NA,-0.128266580048717,NA,NA
1997.16666666667,1,2.62871930959676,-1.61760748076185,0.149888506957258,0.112163069880648,0.643489522997065,-0.0556294521576897,9.4034608741158,23.7867787581831
1997.25,1,NA,NA,0.122071222112066,NA,NA,-0.0772694183170597,NA,NA
1997.33333333333,1,NA,NA,0.179018456828945,NA,NA,0.080148665630922,NA,NA
1997.41666666667,1,3.72016068555734,2.09151584732119,0.158404077911501,0.108268682365995,1.64834135590901,-0.0786821270506837,9.74404736604527,12.4558325330228
1997.5,1,NA,NA,0.185841437921707,NA,NA,0.0212646186804877,NA,NA
1997.58333333333,1,NA,NA,-0.0109424020551393,NA,NA,0.0164102449967485,NA,NA
1997.66666666667,1,1.62208276489917,-1.11802717408516,0.0174146505438147,0.0709182252175401,1.24308955973991,-0.00589453630820369,13.144098840743,21.2460849775998
1997.75,1,NA,NA,-0.195070453202333,NA,NA,0.0698057610724849,NA,NA
1997.83333333333,1,NA,NA,-0.146620069987647,NA,NA,-0.0495509542573345,NA,NA
1997.91666666667,1,-1.20761635104341,-5.32024878259723,-0.196671280409084,0.0395363460520798,0.855149662873345,-0.107029855907408,12.2787689756885,-4.05227413177339
1998,1,NA,NA,-0.393062373744025,NA,NA,-0.1386184158748,NA,NA
1998.08333333333,1,NA,NA,-0.180148059200733,NA,NA,-0.0607133411528722,NA,NA
1998.16666666667,1,-2.71406287501783,-4.80874167602465,-0.163277089952709,-0.0461677132561192,0.994518148361756,-0.0693798020249292,9.26242486126638,-4.94890677605455
1998.25,1,NA,NA,-0.255804278511344,NA,NA,0.00982433896870982,NA,NA
1998.33333333333,1,NA,NA,-0.407103093041484,NA,NA,0.0425731523992858,NA,NA
1998.41666666667,1,-0.319033877394581,-4.1585804252132,-0.558495114318224,-0.119890000891349,0.921547812371237,-0.113534392400697,7.8900810149914,-26.5425515800719
1998.5,1,NA,NA,-0.537165557195147,NA,NA,0.0166022726394948,NA,NA
1998.58333333333,1,NA,NA,-0.717134670168767,NA,NA,-0.0181456173842331,NA,NA
1998.66666666667,1,-0.904472610416107,-4.31360776781009,-0.608164987564892,-0.246211140068644,1.24478767364753,0.0984146970124824,6.71144747253936,-19.0165845471495
1998.75,1,NA,NA,-0.340232693910852,NA,NA,-0.0414478486656751,NA,NA
1998.83333333333,1,NA,NA,-0.168895288962356,NA,NA,-0.110650620281321,NA,NA
1998.91666666667,1,1.46544146638625,-2.4504458354583,-0.159310801472572,-0.322876816960739,1.6029638409595,-0.134397846355839,8.59966119380979,4.87211039811008
1999,2,NA,NA,-0.170304190304122,NA,NA,0.0806573320096851,NA,NA
1999.08333333333,2,NA,NA,-0.168697761427423,NA,NA,-0.0522362458954206,NA,NA
1999.16666666667,2,2.08638263456251,-0.259091481576235,-0.117866885686969,-0.255832372887259,0.942020898567186,0.178353364234128,9.19993919843154,7.1263183757733
1999.25,2,NA,NA,0.133885303606055,NA,NA,0.195858996100294,NA,NA
1999.33333333333,2,NA,NA,0.112832853503797,NA,NA,0.0237215580468062,NA,NA
1999.41666666667,2,3.07465245109118,5.49990707435697,0.207165842854576,-0.130754135378033,0.766215697873385,0.00758203731131268,8.00532575168014,16.4581471028078
1999.5,2,NA,NA,0.1906907826794,NA,NA,0.13989945092978,NA,NA
1999.58333333333,2,NA,NA,0.174770346759731,NA,NA,0.0728885850563303,NA,NA
1999.66666666667,2,1.43358072098767,1.88266968193957,0.135025982340677,-0.0401267382147843,1.3011628748874,0.097534278573908,5.84895432533079,16.9097758427903
1999.75,2,NA,NA,0.158668185192335,NA,NA,-0.00943812494112506,NA,NA
